 o, o,1
 e, e,1
 a, a,0.999
 k, k,1
 e, a,0.522
 a, m,0.685
 k, a,0.717
 e, e,0.712
 a, m,0.998
 k, p,0.454
 e, a,0.965
 a, a,0.61
 k, k,0.989
 e, a,0.999
 a, a,1
 k, x,0.588
 e, e,0.708
 a, a,1
 k, k,0.892
 e, a,0.994
 a, a,1
 k, e,1
 e, m,0.735
 a, a,1
 k, k,0.881
 e, e,1
 a, m,0.707
 k, u,0.99
 e, a,0.555
 a, e,0.709
 k, k,0.995
 e, e,0.957
 a, a,0.965
 k, k,0.992
 e, c,0.753
 a, a,1
 k, k,0.998
 e, e,0.999
 a, e,0.749
 k, k,1
 e, e,0.881
 a, m,0.997
 k, k,0.869
 e, e,1
 a, c,0.815
 k, h,0.641
 e, e,1
 a, a,1
 k, k,1
 e, a,0.818
 a, m,1
 k, k,0.85
 e, e,0.994
 a, a,1
 k, e,0.797
 e, e,1
 a, m,0.578
 k, k,0.627
 e, e,0.999
 a, a,0.999
 k, k,0.644
 e, e,0.999
 a, a,1
 k, k,0.994
 e, e,0.998
 a, a,0.967
 k, k,0.994
 e, e,0.98
 a, m,1
 k, e,0.785
 e, m,1
 u, d,0.76
 s, s,0.999
 t, t,1
 i, i,0.75
 f, f,1
 i, l,0.94
 c, c,1
 a, m,0.612
 t, t,0.92
 i, l,1
 o, o,1
 n, m,0.956
 s, s,0.995
 u, o,0.975
 s, s,1
 t, t,1
 i, i,0.825
 f, q,0.636
 i, i,1
 c, c,1
 a, a,1
 t, d,0.893
 i, l,0.945
 o, o,1
 n, n,1
 s, s,0.974
 u, u,0.996
 s, s,0.999
 t, z,0.334
 i, i,0.971
 f, p,0.95
 i, i,0.959
 c, c,1
 a, a,1
 t, y,0.91
 i, i,0.996
 o, o,1
 n, n,1
 s, e,0.878
 u, w,0.989
 s, z,0.59
 t, m,0.827
 i, i,0.998
 f, t,0.973
 i, i,1
 c, a,0.964
 a, n,0.98
 t, m,0.514
 i, i,0.999
 o, o,1
 n, m,1
 s, o,0.977
 u, u,1
 s, s,0.998
 t, t,0.487
 i, i,0.968
 f, f,0.994
 i, i,0.815
 c, c,1
 a, e,0.93
 t, t,0.904
 i, i,0.988
 o, o,1
 n, n,0.98
 s, s,0.643
 u, u,1
 s, g,0.884
 t, t,0.999
 i, i,0.999
 f, f,0.903
 i, i,1
 c, c,0.998
 a, d,0.999
 t, l,0.984
 i, i,1
 o, o,1
 n, n,1
 s, g,1
 u, u,0.99
 s, a,0.999
 t, t,1
 i, i,0.999
 f, f,1
 i, i,0.596
 c, a,0.665
 a, m,0.722
 t, t,1
 i, i,0.833
 o, o,0.988
 n, u,0.988
 s, s,1
 u, v,0.966
 s, s,0.995
 t, t,0.995
 i, i,0.908
 f, t,0.613
 i, j,1
 c, c,0.999
 a, a,1
 t, t,0.998
 i, i,0.993
 o, d,0.621
 n, n,0.936
 s, s,1
 u, u,1
 s, s,0.662
 t, b,0.973
 i, l,0.981
 f, f,0.999
 i, i,0.992
 c, c,0.999
 a, o,1
 t, b,0.972
 i, i,0.989
 o, o,1
 n, n,0.909
 s, s,1
 u, v,0.971
 s, s,0.981
 t, t,1
 i, l,0.898
 f, f,0.858
 i, i,0.999
 c, c,0.997
 a, a,0.997
 t, t,0.995
 i, i,0.997
 o, o,1
 n, n,0.996
 s, s,1
 u, a,0.74
 s, s,1
 t, t,0.933
 i, i,0.996
 f, t,0.716
 i, i,0.999
 c, c,0.988
 a, a,1
 t, t,0.454
 i, i,1
 o, o,1
 n, n,1
 s, s,0.947
 u, m,0.519
 s, s,1
 t, f,0.811
 i, i,0.999
 f, f,0.997
 i, j,0.999
 c, c,1
 a, k,0.664
 t, r,0.999
 i, j,0.949
 o, g,0.539
 n, n,1
 s, g,0.936
 u, v,0.631
 s, g,0.722
 t, t,0.51
 i, i,1
 f, p,0.9
 i, i,1
 c, e,0.815
 a, n,0.85
 t, t,1
 i, i,0.886
 o, o,0.999
 n, m,0.996
 s, g,1
 u, v,0.968
 s, s,1
 t, k,0.845
 i, i,0.565
 f, t,0.606
 i, h,1
 c, a,0.875
 a, a,1
 t, h,0.981
 i, j,0.868
 o, g,1
 n, n,0.755
 s, a,0.818
 u, u,0.782
 s, s,1
 t, i,0.983
 i, i,0.954
 f, p,0.608
 i, i,0.991
 c, f,0.689
 a, m,1
 t, t,0.803
 i, i,0.973
 o, g,1
 n, m,0.711
 s, s,0.927
 u, w,0.993
 s, g,0.712
 t, r,0.997
 i, j,0.997
 f, p,0.999
 i, i,1
 c, c,1
 a, a,0.718
 t, r,0.998
 i, t,0.585
 o, v,0.726
 n, w,0.727
 s, g,1
 u, w,0.66
 s, n,0.614
 t, t,0.966
 i, i,0.734
 f, f,0.803
 i, c,0.43
 c, a,0.926
 a, a,0.776
 t, z,0.939
 i, i,0.985
 o, o,0.542
 n, m,0.882
 s, m,0.632
 u, u,1
 s, l,0.76
 t, g,1
 i, i,0.745
 f, f,1
 i, l,0.503
 c, c,1
 a, a,1
 t, t,0.881
 i, i,0.74
 o, o,1
 n, n,1
 s, f,0.991
 u, u,0.65
 s, e,0.973
 t, d,0.994
 i, i,1
 f, t,0.891
 i, l,0.982
 c, c,0.999
 a, o,0.996
 t, v,0.978
 i, i,0.891
 o, o,1
 n, n,1
 s, s,0.999
 u, u,0.993
 s, s,1
 t, d,0.812
 i, i,0.997
 f, t,0.999
 i, h,0.999
 c, c,1
 a, a,1
 t, t,1
 i, i,0.999
 o, o,1
 n, g,0.993
 s, s,0.999
 u, w,1
 s, z,0.796
 t, t,1
 i, i,0.998
 f, q,0.999
 i, i,1
 c, l,0.951
 a, w,1
 t, t,1
 i, h,0.764
 o, o,0.914
 n, m,0.997
 s, s,0.999
 u, u,0.995
 s, a,0.89
 t, t,1
 i, i,1
 f, q,0.554
 i, i,0.999
 c, c,0.991
 a, a,1
 t, b,0.455
 i, i,0.999
 o, m,0.655
 n, n,0.986
 s, a,0.999
 u, u,0.899
 s, x,0.923
 t, t,0.996
 i, i,0.999
 f, s,1
 i, i,1
 c, c,0.971
 a, a,0.999
 t, g,0.997
 i, l,0.789
 o, o,1
 n, n,1
 s, u,0.976
 u, u,0.44
 s, s,1
 t, z,0.56
 i, l,0.871
 f, p,0.573
 i, l,0.789
 c, c,1
 a, m,0.988
 t, t,0.988
 i, i,1
 o, o,0.982
 n, n,0.998
 s, s,1
 u, u,0.998
 s, s,1
 t, t,1
 i, i,1
 f, f,0.408
 i, l,0.918
 c, c,0.983
 a, m,0.998
 t, x,0.499
 i, r,0.577
 o, w,0.671
 n, u,0.912
 s, s,1
 u, v,0.964
 s, s,1
 t, r,0.895
 i, i,1
 f, f,0.999
 i, i,0.784
 c, f,0.978
 a, a,1
 t, r,0.933
 i, i,0.997
 o, o,1
 n, n,0.999
 s, s,1
 u, v,0.977
 s, s,0.996
 t, m,0.92
 i, i,1
 f, a,0.367
 i, i,0.999
 c, c,1
 a, a,0.999
 t, t,0.969
 i, i,0.94
 o, o,1
 n, n,0.576
 s, s,1
 u, z,0.688
 s, s,1
 t, d,0.793
 i, l,0.989
 f, t,0.515
 i, j,0.998
 c, g,0.668
 a, n,1
 t, l,0.845
 i, i,1
 o, o,1
 n, m,0.942
 s, s,1
 u, u,1
 s, z,0.394
 t, f,0.922
 i, i,0.833
 f, p,0.952
 i, i,0.589
 c, c,1
 a, a,0.994
 t, t,0.89
 i, i,0.999
 o, o,1
 n, n,1
 s, a,0.906
 u, o,0.809
 s, g,0.657
 t, t,0.763
 i, l,0.988
 f, r,0.953
 i, l,0.998
 c, c,0.976
 a, n,0.369
 t, r,1
 i, l,0.996
 o, o,1
 n, w,1
 s, j,0.996
 u, u,0.957
 s, j,0.886
 t, t,0.991
 i, i,0.997
 f, f,0.972
 i, i,1
 c, c,1
 a, a,1
 t, v,0.951
 i, i,1
 o, o,1
 n, m,0.993
 s, z,0.423
 u, a,0.981
 s, z,0.465
 t, t,1
 i, i,0.998
 f, f,0.999
 i, i,0.987
 c, c,0.999
 a, m,0.577
 t, t,1
 i, l,0.45
 o, o,1
 n, o,0.939
 s, x,0.786
 u, u,1
 s, s,0.994
 t, p,0.351
 i, l,0.761
 f, t,0.536
 i, l,1
 c, c,1
 a, a,1
 t, e,0.986
 i, i,0.862
 o, g,1
 n, n,1
 s, s,1
 u, v,0.988
 s, g,0.967
 t, t,0.986
 i, i,0.95
 f, f,0.92
 i, i,0.809
 c, p,0.961
 a, g,0.996
 t, t,1
 i, i,0.833
 o, o,1
 n, n,1
 s, s,0.595
 u, o,0.999
 s, s,1
 t, p,0.987
 i, r,1
 f, r,1
 i, y,0.739
 c, c,0.994
 a, d,1
 t, f,0.737
 i, y,0.69
 o, g,0.991
 n, d,1
 s, s,0.979
 u, w,0.967
 s, a,0.994
 t, t,1
 i, i,0.949
 f, q,0.482
 i, y,0.495
 c, c,0.935
 a, a,0.509
 t, t,0.571
 i, i,0.997
 o, a,0.763
 n, n,0.999
 s, a,0.457
 u, w,0.795
 s, m,0.993
 t, t,0.43
 i, i,0.999
 f, f,0.742
 i, i,0.998
 c, c,0.991
 a, m,0.955
 t, h,0.932
 i, i,0.999
 o, m,0.687
 n, n,0.999
 s, a,0.918
 u, w,0.982
 s, s,1
 t, k,1
 i, i,1
 f, f,0.989
 i, l,0.789
 c, f,0.999
 a, m,0.727
 t, t,1
 i, i,1
 o, o,1
 n, m,0.991
 s, s,1
 u, m,0.937
 s, s,0.758
 t, z,0.378
 i, i,0.992
 f, z,0.861
 i, i,0.607
 c, a,0.575
 a, m,0.997
 t, h,0.96
 i, i,0.668
 o, m,0.997
 n, m,0.998
 s, s,0.736
 u, u,0.992
 s, e,0.995
 t, t,1
 i, i,1
 f, f,0.971
 i, i,0.994
 c, c,1
 a, m,0.935
 t, t,1
 i, i,0.999
 o, o,1
 n, w,0.701
 s, s,0.999
 u, a,0.999
 s, s,1
 t, t,0.997
 i, l,0.989
 f, f,0.961
 i, i,0.988
 c, c,0.999
 a, a,1
 t, t,0.992
 i, i,0.999
 o, o,1
 n, n,0.911
 s, z,0.806
 u, u,0.982
 s, b,0.993
 t, d,1
 i, i,0.997
 f, d,1
 i, r,0.999
 c, c,0.999
 a, m,0.867
 t, t,0.504
 i, r,1
 o, o,1
 n, m,0.81
 s, b,0.991
 u, a,0.823
 s, x,0.644
 t, t,1
 i, i,0.998
 f, f,0.999
 i, i,0.982
 c, e,0.617
 a, a,0.998
 t, t,0.973
 i, i,0.974
 o, o,1
 n, n,1
 s, a,0.79
 u, u,0.999
 s, b,0.969
 t, l,0.999
 i, i,0.997
 f, p,0.953
 i, h,0.508
 c, c,0.999
 a, a,1
 t, b,0.991
 i, i,0.999
 o, g,1
 n, n,1
 s, x,0.48
 u, u,0.973
 s, s,1
 t, t,0.642
 i, l,0.955
 f, e,0.659
 i, l,0.958
 c, c,1
 a, n,1
 t, z,0.927
 i, y,0.994
 o, o,1
 n, w,0.842
 s, z,0.721
 u, u,1
 s, g,0.999
 t, t,0.728
 i, i,0.994
 f, y,0.96
 i, i,0.85
 c, c,0.466
 a, a,1
 t, f,0.997
 i, i,0.984
 o, o,1
 n, a,0.999
 s, e,0.835
 u, v,0.998
 s, s,0.503
 t, z,0.631
 i, i,1
 f, l,0.664
 i, l,0.52
 c, a,0.763
 a, m,0.948
 t, x,0.747
 i, i,1
 o, a,0.954
 n, m,0.748
 s, z,0.564
 u, u,1
 s, s,1
 t, z,0.813
 i, i,0.98
 f, f,0.977
 i, i,0.993
 c, a,0.977
 a, m,0.992
 t, e,0.546
 i, i,0.929
 o, o,1
 n, n,1
 s, s,0.999
 u, a,0.402
 s, z,0.879
 t, t,1
 i, i,0.607
 f, f,0.505
 i, i,1
 c, e,0.577
 a, a,1
 t, t,1
 i, i,1
 o, o,1
 n, n,0.792
 s, a,0.806
 u, v,0.987
 s, l,0.744
 t, j,0.792
 i, i,1
 f, r,0.984
 i, i,0.99
 c, c,0.987
 a, a,0.614
 t, t,0.704
 i, i,0.971
 o, o,1
 n, a,0.602
 s, l,0.656
 u, u,0.981
 s, a,0.988
 t, t,0.999
 i, i,1
 f, f,1
 i, i,0.768
 c, c,0.93
 a, m,0.999
 t, j,0.47
 i, i,0.653
 o, o,0.743
 n, m,0.833
 s, s,1
 u, p,0.932
 s, j,0.866
 t, l,0.982
 i, l,0.789
 f, t,0.938
 i, r,0.921
 c, e,0.801
 a, a,0.981
 t, t,0.996
 i, i,0.998
 o, t,0.984
 n, n,1
 s, i,0.952
 u, u,1
 s, g,0.947
 t, j,0.668
 i, r,0.981
 f, t,0.973
 i, i,1
 c, c,1
 a, a,1
 t, l,0.996
 i, c,0.657
 o, g,1
 n, n,0.998
 s, q,0.377
 u, g,0.383
 s, s,1
 t, t,1
 i, l,0.87
 f, f,0.937
 i, l,0.895
 c, g,0.532
 a, a,0.999
 t, t,1
 i, i,0.851
 o, g,1
 n, a,0.8
 s, s,0.905
 u, w,0.597
 s, s,0.999
 t, j,0.513
 i, i,0.98
 f, f,0.618
 i, i,1
 c, c,0.854
 a, m,0.867
 t, d,0.974
 i, l,0.998
 o, o,1
 n, n,0.963
 s, s,0.989
 u, w,0.975
 s, s,1
 t, t,1
 i, j,1
 f, f,0.999
 i, b,0.605
 c, c,1
 a, a,1
 t, t,1
 i, i,0.961
 o, o,0.999
 n, m,0.985
 s, s,0.996
 u, h,0.477
 s, s,0.598
 t, t,1
 i, i,1
 f, f,1
 i, i,0.998
 c, c,0.999
 a, x,0.699
 t, t,0.629
 i, i,0.988
 o, o,1
 n, n,1
 s, z,0.83
 u, a,0.989
 s, z,0.802
 t, t,0.997
 i, i,0.988
 f, f,1
 i, i,1
 c, r,1
 a, a,0.986
 t, t,0.742
 i, i,0.994
 o, a,0.886
 n, n,0.542
 s, s,0.983
 u, u,0.98
 s, s,1
 t, p,0.974
 i, i,0.991
 f, x,0.909
 i, r,0.998
 c, c,0.99
 a, a,0.938
 t, y,0.882
 i, r,1
 o, o,0.999
 n, m,0.999
 s, u,0.649
 u, k,0.998
 s, s,1
 t, l,0.998
 i, i,0.997
 f, t,1
 i, i,0.998
 c, c,0.864
 a, z,0.993
 t, t,1
 i, i,0.999
 o, g,1
 n, k,0.939
 s, g,0.995
 u, u,0.956
 s, s,0.58
 t, z,0.877
 i, i,0.997
 f, r,1
 i, i,0.931
 c, c,1
 a, a,1
 t, t,1
 i, i,0.977
 o, g,1
 n, g,0.999
 s, s,0.582
 u, o,0.978
 s, s,0.999
 t, e,0.722
 i, a,0.993
 f, p,1
 i, z,0.392
 c, c,0.778
 a, n,1
 t, x,0.578
 i, x,0.933
 o, o,0.91
 n, w,0.994
 s, a,0.413
 u, w,0.576
 s, s,1
 t, t,1
 i, i,0.974
 f, f,0.999
 i, i,0.978
 c, e,0.657
 a, m,0.839
 t, t,0.999
 i, y,0.764
 o, o,0.998
 n, m,0.994
 s, x,0.663
 u, u,0.969
 s, s,1
 t, f,0.884
 i, l,0.998
 f, f,0.644
 i, i,0.958
 c, c,0.994
 a, a,1
 t, t,0.999
 i, i,0.991
 o, o,1
 n, o,0.871
 s, s,1
 u, v,0.527
 s, s,0.508
 t, t,0.989
 i, i,1
 f, f,0.973
 i, i,1
 c, a,0.996
 a, a,0.538
 t, z,0.941
 i, i,0.823
 o, o,0.999
 n, n,1
 s, s,0.975
 u, m,0.794
 s, s,1
 t, t,1
 i, l,0.789
 f, f,0.601
 i, i,0.999
 c, c,1
 a, n,0.966
 t, t,1
 i, i,0.997
 o, o,1
 n, n,0.891
 s, y,0.958
 u, e,0.554
 s, s,1
 t, t,1
 i, i,0.989
 f, f,1
 i, i,1
 c, p,0.979
 a, a,1
 t, t,0.691
 i, y,0.998
 o, o,0.997
 n, a,0.96
 s, s,0.998
 u, u,0.998
 s, g,0.513
 t, t,0.706
 i, l,0.817
 f, p,0.994
 i, l,1
 c, u,0.933
 a, m,0.942
 t, t,0.543
 i, f,0.998
 o, g,1
 n, n,1
 s, a,0.991
 u, w,0.583
 s, s,1
 t, l,1
 i, i,1
 f, f,0.999
 i, i,0.999
 c, c,1
 a, w,0.997
 t, i,0.742
 i, l,0.998
 o, o,0.997
 n, n,0.919
 s, s,1
 u, u,1
 s, s,0.796
 t, t,1
 i, i,1
 f, f,0.526
 i, i,0.974
 c, c,0.999
 a, a,1
 t, t,1
 i, i,0.9
 o, o,0.999
 n, k,0.509
 s, s,0.794
 u, m,0.723
 s, b,1
 t, t,0.999
 i, f,0.83
 f, t,0.774
 i, i,0.993
 c, c,0.666
 a, a,0.843
 t, t,0.995
 i, r,0.954
 o, o,0.576
 n, a,0.978
 s, s,0.715
 u, o,0.753
 s, g,1
 t, t,0.994
 i, i,0.994
 f, f,0.838
 i, i,0.996
 c, c,1
 a, a,0.947
 t, t,1
 i, i,0.996
 o, o,1
 n, n,0.831
 s, s,0.998
 u, u,0.821
 s, s,1
 t, r,0.997
 i, l,1
 f, r,0.86
 i, l,1
 c, c,1
 a, n,1
 t, r,0.994
 i, l,0.847
 o, o,1
 n, w,0.558
 s, g,0.868
 u, u,0.886
 s, s,1
 t, t,0.996
 i, i,0.989
 f, f,0.652
 i, i,0.887
 c, r,0.881
 a, m,0.974
 t, t,1
 i, r,1
 o, o,1
 n, n,0.995
 s, s,1
 u, v,0.578
 s, s,1
 t, t,0.797
 i, l,1
 f, e,0.955
 i, l,0.884
 c, c,1
 a, a,0.98
 t, t,0.634
 i, l,1
 o, o,1
 n, w,0.998
 s, z,0.747
 u, w,0.529
 s, s,0.957
 t, t,1
 i, r,0.963
 f, f,1
 i, i,0.999
 c, a,0.996
 a, a,0.894
 t, t,0.915
 i, i,0.999
 o, o,0.999
 n, a,0.947
 s, s,1
 u, m,0.96
 s, z,0.595
 t, t,0.546
 i, k,0.926
 f, f,1
 i, i,0.999
 c, e,0.783
 a, a,0.995
 t, n,0.994
 i, i,1
 o, o,1
 n, m,0.646
 s, s,1
 u, u,0.977
 s, s,0.759
 t, t,0.687
 i, i,0.993
 f, t,0.538
 i, i,1
 c, a,0.711
 a, a,0.996
 t, t,0.943
 i, i,0.989
 o, a,0.485
 n, m,0.988
 s, s,0.928
 u, w,0.983
 s, a,0.986
 t, d,0.984
 i, i,0.749
 f, t,0.424
 i, t,0.607
 c, c,0.955
 a, m,0.976
 t, t,1
 i, i,0.497
 o, o,0.994
 n, n,0.495
 s, x,0.497
 u, w,0.511
 s, s,1
 t, f,0.994
 i, r,1
 f, r,0.882
 i, r,0.989
 c, e,0.638
 a, a,0.771
 t, p,0.706
 i, r,0.82
 o, o,1
 n, n,0.993
 s, f,0.919
 u, v,0.775
 s, s,0.776
 t, t,0.94
 i, j,1
 f, f,1
 i, i,0.979
 c, c,1
 a, a,1
 t, t,0.999
 i, i,0.999
 o, o,0.937
 n, n,0.82
 s, s,1
 u, u,1
 s, s,1
 t, t,0.65
 i, i,0.999
 f, p,1
 i, j,0.674
 c, c,1
 a, a,1
 t, t,0.987
 i, i,0.973
 o, o,1
 n, n,1
 s, s,0.998
 u, v,0.997
 s, s,1
 t, f,0.653
 i, l,0.789
 f, f,1
 i, r,0.861
 c, c,0.997
 a, w,0.657
 t, t,1
 i, r,1
 o, o,1
 n, m,0.993
 s, x,0.508
 u, u,0.998
 s, g,0.927
 t, t,1
 i, l,0.956
 f, f,0.999
 i, l,1
 c, c,1
 a, o,0.886
 t, t,0.997
 i, i,0.991
 o, o,1
 n, n,1
 s, g,0.777
 u, q,0.662
 s, g,1
 t, t,0.997
 i, i,0.99
 f, l,0.852
 i, i,0.887
 c, g,0.918
 a, a,0.738
 t, t,0.999
 i, i,0.6
 o, o,0.965
 n, n,1
 s, s,1
 u, u,0.883
 s, s,0.991
 t, d,0.998
 i, i,0.999
 f, f,1
 i, i,0.996
 c, c,0.838
 a, m,0.922
 t, t,0.973
 i, i,0.982
 o, o,1
 n, a,0.963
 s, s,1
 u, u,0.997
 s, s,0.999
 t, t,0.996
 i, i,0.96
 f, f,0.915
 i, i,0.925
 c, c,1
 a, a,0.954
 t, t,1
 i, l,0.971
 o, o,1
 n, n,0.941
 s, g,1
 u, v,0.806
 s, q,0.627
 t, t,0.999
 i, i,0.998
 f, t,0.527
 i, i,0.974
 c, c,0.982
 a, g,1
 t, l,0.995
 i, i,1
 o, o,0.992
 n, v,0.99
 s, b,0.999
 u, u,1
 s, s,1
 t, t,0.995
 i, i,1
 f, f,0.808
 i, i,1
 c, c,0.999
 a, a,0.978
 t, t,0.658
 i, i,1
 o, o,0.999
 n, n,0.998
 s, s,0.977
 u, a,0.541
 s, q,0.83
 t, t,0.998
 i, l,1
 f, t,0.999
 i, i,1
 c, c,1
 a, k,0.983
 t, t,1
 i, t,0.708
 o, g,1
 n, n,1
 s, s,1
 u, u,0.938
 s, s,0.99
 t, t,0.999
 i, i,0.991
 f, f,1
 i, i,0.943
 c, c,1
 a, a,1
 t, f,0.9
 i, l,0.902
 o, o,1
 n, n,1
 s, g,0.765
 u, u,0.988
 s, s,1
 t, t,0.989
 i, i,0.813
 f, f,1
 i, i,0.997
 c, c,0.999
 a, m,0.988
 t, t,0.999
 i, i,0.949
 o, a,0.997
 n, n,0.997
 s, s,1
 u, u,1
 s, y,0.846
 t, t,0.991
 i, i,0.997
 f, x,0.934
 i, l,0.548
 c, o,1
 a, e,0.988
 t, t,0.565
 i, r,0.622
 o, o,1
 n, e,0.989
 s, o,0.978
 u, u,1
 s, a,0.727
 t, t,0.905
 i, i,0.536
 f, e,0.959
 i, x,0.984
 c, v,0.866
 a, x,0.95
 t, m,0.965
 i, l,0.884
 o, y,0.951
 n, m,0.972
 s, z,0.806
 u, u,0.914
 s, s,0.999
 t, n,0.716
 i, i,0.999
 f, f,0.987
 i, i,0.999
 c, c,1
 a, a,1
 t, t,0.978
 i, l,0.981
 o, a,0.801
 n, m,0.962
 s, b,0.954
 a, a,1
 f, f,0.996
 e, e,0.884
 t, t,0.852
 e, p,0.883
 r, l,0.692
 i, i,0.994
 a, m,0.86
 a, m,1
 f, f,1
 e, a,1
 t, d,0.972
 e, e,1
 r, r,0.998
 i, l,1
 a, m,0.999
 a, a,1
 f, d,0.998
 e, z,0.627
 t, x,0.648
 e, z,0.827
 r, r,0.534
 i, y,0.99
 a, d,0.841
 a, a,0.959
 f, f,1
 e, e,0.84
 t, t,1
 e, e,0.965
 r, f,1
 i, i,0.996
 a, a,0.996
 a, a,0.95
 f, l,0.999
 e, e,0.998
 t, t,0.869
 e, a,0.734
 r, r,1
 i, i,0.999
 a, a,0.714
 a, g,0.957
 f, l,0.949
 e, k,0.983
 t, t,0.989
 e, e,1
 r, r,1
 i, i,0.923
 a, g,0.725
 a, a,0.776
 f, f,0.677
 e, m,0.354
 t, t,1
 e, m,0.379
 r, r,0.893
 i, i,0.908
 a, m,0.999
 a, a,0.965
 f, f,0.995
 e, a,0.624
 t, z,0.605
 e, e,0.518
 r, m,0.902
 i, l,0.789
 a, m,0.886
 a, a,0.809
 f, f,0.962
 e, e,1
 t, z,0.492
 e, e,0.966
 r, r,1
 i, i,0.995
 a, a,0.999
 a, o,0.981
 f, p,0.917
 e, e,0.736
 t, l,0.752
 e, a,0.99
 r, r,0.857
 i, i,0.972
 a, a,1
 a, a,1
 f, f,1
 e, e,0.999
 t, t,0.996
 e, z,0.582
 r, m,0.904
 i, i,0.988
 a, m,0.919
 a, a,0.986
 f, p,0.91
 e, c,0.926
 t, t,0.896
 e, f,0.987
 r, u,0.469
 i, i,0.545
 a, a,0.992
 a, z,0.534
 f, p,0.967
 e, e,0.999
 t, l,0.829
 e, e,0.999
 r, m,0.944
 i, i,0.997
 a, a,0.962
 a, n,0.993
 f, f,1
 e, e,0.868
 t, l,0.998
 e, e,0.698
 r, r,1
 i, i,0.769
 a, m,0.993
 a, a,1
 f, r,0.996
 e, c,0.997
 t, f,0.805
 e, e,0.999
 r, r,1
 i, i,1
 a, k,0.997
 a, a,1
 f, p,0.984
 e, z,0.712
 t, t,0.83
 e, m,0.944
 r, r,0.993
 i, i,0.969
 a, m,0.933
 a, a,0.996
 f, l,1
 e, e,0.964
 t, t,0.625
 e, t,0.85
 r, a,0.719
 i, r,0.953
 a, m,0.819
 a, a,0.999
 f, f,0.997
 e, c,1
 t, t,0.33
 e, e,1
 r, r,0.902
 i, i,0.997
 a, m,0.833
 a, m,0.661
 f, t,0.973
 e, e,0.734
 t, t,1
 e, e,0.982
 r, r,0.997
 i, i,0.999
 a, m,0.999
 a, a,0.998
 f, f,1
 e, e,0.709
 t, t,1
 e, e,0.989
 r, r,0.999
 i, i,1
 a, a,1
 a, a,0.774
 f, p,0.992
 e, e,0.993
 t, t,0.978
 e, e,0.916
 r, c,0.621
 i, i,0.978
 a, m,0.993
 a, a,0.569
 f, f,1
 e, x,0.524
 t, l,0.992
 e, w,0.867
 r, r,0.998
 i, h,0.812
 a, x,0.528
 a, m,0.627
 f, p,1
 e, a,0.89
 t, z,0.807
 e, a,0.906
 r, r,0.991
 i, i,0.959
 a, m,0.972
 a, a,0.676
 f, r,0.992
 e, m,0.962
 t, t,0.984
 e, m,0.453
 r, m,0.678
 i, i,0.807
 a, m,0.713
 a, e,1
 f, t,0.999
 e, e,1
 t, g,0.385
 e, a,0.866
 r, m,0.487
 i, i,0.829
 a, a,0.992
 a, o,1
 f, l,0.998
 e, a,1
 t, t,0.821
 e, a,0.857
 r, r,1
 i, j,0.942
 a, o,1
 a, a,0.991
 f, t,0.841
 e, e,1
 t, t,1
 e, e,1
 r, r,1
 i, i,0.909
 a, a,1
 a, a,1
 f, p,0.99
 e, e,0.994
 t, t,0.833
 e, e,0.678
 r, m,0.949
 i, j,0.999
 a, m,1
 a, a,1
 f, f,0.996
 e, a,0.987
 t, t,0.992
 e, a,0.5
 r, r,0.587
 i, i,0.996
 a, a,1
 a, o,0.991
 f, s,0.825
 e, m,0.869
 t, t,0.8
 e, a,0.425
 r, p,0.993
 i, i,0.999
 a, a,0.823
 a, a,0.998
 f, f,0.993
 e, e,0.738
 t, z,0.656
 e, e,0.788
 r, r,0.961
 i, l,0.789
 a, a,0.767
 a, m,1
 f, f,1
 e, p,0.856
 t, r,1
 e, e,0.975
 r, r,0.598
 i, i,0.993
 a, a,0.98
 a, a,0.992
 f, e,0.523
 e, a,0.799
 t, t,1
 e, z,0.511
 r, a,0.999
 i, i,1
 a, n,0.993
 a, a,1
 f, f,1
 e, e,0.546
 t, t,1
 e, e,0.955
 r, r,1
 i, i,0.996
 a, a,1
 a, z,0.797
 f, r,0.839
 e, c,0.498
 t, t,0.592
 e, r,0.998
 r, x,0.49
 i, l,0.789
 a, z,0.508
 a, n,0.667
 f, d,0.881
 e, e,0.668
 t, t,1
 e, e,1
 r, r,0.634
 i, i,0.995
 a, n,1
 a, a,1
 f, f,0.962
 e, e,1
 t, f,0.963
 e, e,0.822
 r, m,0.998
 i, i,0.935
 a, m,0.997
 a, o,0.881
 f, f,1
 e, c,0.973
 t, t,1
 e, p,0.608
 r, r,1
 i, l,0.996
 a, g,0.974
 a, f,0.504
 f, r,0.999
 e, p,0.999
 t, v,0.967
 e, p,0.999
 r, r,0.999
 i, i,0.991
 a, e,0.991
 a, m,1
 f, f,0.779
 e, m,1
 t, t,0.998
 e, m,1
 r, r,0.747
 i, i,0.999
 a, m,1
 a, a,0.758
 f, q,0.744
 e, a,0.996
 t, t,1
 e, x,0.37
 r, r,0.995
 i, i,0.989
 a, a,0.589
 a, a,0.999
 f, f,1
 e, c,0.921
 t, t,0.82
 e, z,0.943
 r, p,0.548
 i, i,1
 a, a,0.956
 a, m,0.957
 f, z,0.657
 e, a,0.73
 t, v,0.957
 e, a,0.96
 r, r,1
 i, i,0.995
 a, m,0.999
 a, n,0.929
 f, k,0.896
 e, c,0.914
 t, k,0.951
 e, b,0.949
 r, t,0.999
